Operation,UserID,FullName,Email,PhoneNumber,VisitCount,TotalSpent,Choice,NewValue
Update,27,,,,,,2,hansonwilliam.updated@bennett-greene.com
Delete,28,,,,,,,,
Read,29,Brianna Tyler,,,,,,,
Update,30,,,,,,3,555-000-0030
Delete,20,,,,,,,,
Read,21,Jerry Ramirez,,,,,,,
Update,22,,,,,,4,2757.90
Delete,23,,,,,,,,
Read,24,Kevin Hall,,,,,,,
Update,25,,,,,,1,Rebecca Townsend Updated
Delete,26,,,,,,,,
Read,27,Jamie Gallegos,,,,,,,
Update,28,,,,,,2,brian75.updated@hotmail.com
Delete,29,,,,,,,,
Read,30,Donald Bryant,,,,,,,
Update,20,,,,,,3,555-000-0020
Delete,21,,,,,,,,
Read,22,Patricia Roman,,,,,,,
Update,23,,,,,,4,2467.42
Delete,24,,,,,,,,
Read,25,Rebecca Townsend,,,,,,,
Update,26,,,,,,3,555-000-0026
Delete,27,,,,,,,,
Read,28,Thomas Mason,,,,,,,
Update,29,,,,,,1,Brianna Tyler Updated
Delete,30,,,,,,,,
Read,35,Sara Cole,,,,,,,
Update,35,,,,,,2,sara.cole@update.com
Update,35,,,,,,4,3225.49
Delete,35,,,,,,,,
Read,36,Alyssa Keller,,,,,,,
Update,36,,,,,,3,383-944-6146x05903
Update,36,,,,,,1,Alyssa Keller Updated
Read,37,Jaclyn Mendez,,,,,,,
Update,37,,,,,,4,2947.66
Delete,38,,,,,,,,
Read,39,Marcus Patterson,,,,,,,
Update,39,,,,,,2,marcus.patterson@update.com
Create,101,User101 Name,user101@email.com,9000000101,5,1000.00,,
Read,101,,,,,,,
Update,101,,,,,,1,User101 Name Updated
Update,101,,,,,,2,user101.updated@email.com
Update,101,,,,,,3,9000001101
Update,101,,,,,,4,1100.00
Delete,101,,,,,,,
Create,102,User102 Name,user102@email.com,9000000102,6,1010.00,,
Read,102,,,,,,,
Update,102,,,,,,1,User102 Name Updated
Update,102,,,,,,2,user102.updated@email.com
Update,102,,,,,,3,9000001102
Update,102,,,,,,4,1110.00
Delete,102,,,,,,,
Create,103,User103 Name,user103@email.com,9000000103,7,1020.00,,
Read,103,,,,,,,
Update,103,,,,,,1,User103 Name Updated
Update,103,,,,,,2,user103.updated@email.com
Update,103,,,,,,3,9000001103
Update,103,,,,,,4,1120.00
Delete,103,,,,,,,
Create,104,User104 Name,user104@email.com,9000000104,8,1030.00,,
Read,104,,,,,,,
Update,104,,,,,,1,User104 Name Updated
Update,104,,,,,,2,user104.updated@email.com
Update,104,,,,,,3,9000001104
Update,104,,,,,,4,1130.00
Delete,104,,,,,,,
Create,105,User105 Name,user105@email.com,9000000105,9,1040.00,,
Read,105,,,,,,,
Update,105,,,,,,1,User105 Name Updated
Update,105,,,,,,2,user105.updated@email.com
Update,105,,,,,,3,9000001105
Update,105,,,,,,4,1140.00
Delete,105,,,,,,,
Create,106,User106 Name,user106@email.com,9000000106,10,1050.00,,
Read,106,,,,,,,
Update,106,,,,,,1,User106 Name Updated
Update,106,,,,,,2,user106.updated@email.com
Update,106,,,,,,3,9000001106
Update,106,,,,,,4,1150.00
Delete,106,,,,,,,
Create,107,User107 Name,user107@email.com,9000000107,11,1060.00,,
Read,107,,,,,,,
Update,107,,,,,,1,User107 Name Updated
Update,107,,,,,,2,user107.updated@email.com
Update,107,,,,,,3,9000001107
Update,107,,,,,,4,1160.00
Delete,107,,,,,,,
Create,108,User108 Name,user108@email.com,9000000108,12,1070.00,,
Read,108,,,,,,,
Update,108,,,,,,1,User108 Name Updated
Update,108,,,,,,2,user108.updated@email.com
Update,108,,,,,,3,9000001108
Update,108,,,,,,4,1170.00
Delete,108,,,,,,,
Create,109,User109 Name,user109@email.com,9000000109,13,1080.00,,
Read,109,,,,,,,
Update,109,,,,,,1,User109 Name Updated
Update,109,,,,,,2,user109.updated@email.com
Update,109,,,,,,3,9000001109
Update,109,,,,,,4,1180.00
Delete,109,,,,,,,
Create,110,User110 Name,user110@email.com,9000000110,14,1090.00,,
Read,110,,,,,,,
Update,110,,,,,,1,User110 Name Updated
Update,110,,,,,,2,user110.updated@email.com
Update,110,,,,,,3,9000001110
Update,110,,,,,,4,1190.00
Delete,110,,,,,,,
Create,111,User111 Name,user111@email.com,9000000111,15,1100.00,,
Read,111,,,,,,,
Update,111,,,,,,1,User111 Name Updated
Update,111,,,,,,2,user111.updated@email.com
Update,111,,,,,,3,9000001111
Update,111,,,,,,4,1200.00
Delete,111,,,,,,,
Create,112,User112 Name,user112@email.com,9000000112,16,1110.00,,
Read,112,,,,,,,
Update,112,,,,,,1,User112 Name Updated
Update,112,,,,,,2,user112.updated@email.com
Update,112,,,,,,3,9000001112
Update,112,,,,,,4,1210.00
Delete,112,,,,,,,
Create,113,User113 Name,user113@email.com,9000000113,17,1120.00,,
Read,113,,,,,,,
Update,113,,,,,,1,User113 Name Updated
Update,113,,,,,,2,user113.updated@email.com
Update,113,,,,,,3,9000001113
Update,113,,,,,,4,1220.00
Delete,113,,,,,,,
Create,114,User114 Name,user114@email.com,9000000114,18,1130.00,,
Read,114,,,,,,,
Update,114,,,,,,1,User114 Name Updated
Update,114,,,,,,2,user114.updated@email.com
Update,114,,,,,,3,9000001114
Update,114,,,,,,4,1230.00
Delete,114,,,,,,,
Create,115,User115 Name,user115@email.com,9000000115,19,1140.00,,
Read,115,,,,,,,
Update,115,,,,,,1,User115 Name Updated
Update,115,,,,,,2,user115.updated@email.com
Update,115,,,,,,3,9000001115
Update,115,,,,,,4,1240.00
Delete,115,,,,,,,
Create,116,User116 Name,user116@email.com,9000000116,20,1150.00,,
Read,116,,,,,,,
Update,116,,,,,,1,User116 Name Updated
Update,116,,,,,,2,user116.updated@email.com
Update,116,,,,,,3,9000001116
Update,116,,,,,,4,1250.00
Delete,116,,,,,,,
Create,117,User117 Name,user117@email.com,9000000117,21,1160.00,,
Read,117,,,,,,,
Update,117,,,,,,1,User117 Name Updated
Update,117,,,,,,2,user117.updated@email.com
Update,117,,,,,,3,9000001117
Update,117,,,,,,4,1260.00
Delete,117,,,,,,,
Create,118,User118 Name,user118@email.com,9000000118,22,1170.00,,
Read,118,,,,,,,
Update,118,,,,,,1,User118 Name Updated
Update,118,,,,,,2,user118.updated@email.com
Update,118,,,,,,3,9000001118
Update,118,,,,,,4,1270.00
Delete,118,,,,,,,
Create,119,User119 Name,user119@email.com,9000000119,23,1180.00,,
Read,119,,,,,,,
Update,119,,,,,,1,User119 Name Updated
Update,119,,,,,,2,user119.updated@email.com
Update,119,,,,,,3,9000001119
Update,119,,,,,,4,1280.00
Delete,119,,,,,,,
Create,120,User120 Name,user120@email.com,9000000120,24,1190.00,,
Read,120,,,,,,,
Update,120,,,,,,1,User120 Name Updated
Update,120,,,,,,2,user120.updated@email.com
Update,120,,,,,,3,9000001120
Update,120,,,,,,4,1290.00
Delete,120,,,,,,,
Create,121,User121 Name,user121@email.com,9000000121,5,1200.00,,
Read,121,,,,,,,
Update,121,,,,,,1,User121 Name Updated
Update,121,,,,,,2,user121.updated@email.com
Update,121,,,,,,3,9000001121
Update,121,,,,,,4,1300.00
Delete,121,,,,,,,
Create,122,User122 Name,user122@email.com,9000000122,6,1210.00,,
Read,122,,,,,,,
Update,122,,,,,,1,User122 Name Updated
Update,122,,,,,,2,user122.updated@email.com
Update,122,,,,,,3,9000001122
Update,122,,,,,,4,1310.00
Delete,122,,,,,,,
Create,123,User123 Name,user123@email.com,9000000123,7,1220.00,,
Read,123,,,,,,,
Update,123,,,,,,1,User123 Name Updated
Update,123,,,,,,2,user123.updated@email.com
Update,123,,,,,,3,9000001123
Update,123,,,,,,4,1320.00
Delete,123,,,,,,,
Create,124,User124 Name,user124@email.com,9000000124,8,1230.00,,
Read,124,,,,,,,
Update,124,,,,,,1,User124 Name Updated
Update,124,,,,,,2,user124.updated@email.com
Update,124,,,,,,3,9000001124
Update,124,,,,,,4,1330.00
Delete,124,,,,,,,
Create,125,User125 Name,user125@email.com,9000000125,9,1240.00,,
Read,125,,,,,,,
Update,125,,,,,,1,User125 Name Updated
Update,125,,,,,,2,user125.updated@email.com
Update,125,,,,,,3,9000001125
Update,125,,,,,,4,1340.00
Delete,125,,,,,,,
Create,126,User126 Name,user126@email.com,9000000126,10,1250.00,,
Read,126,,,,,,,
Update,126,,,,,,1,User126 Name Updated
Update,126,,,,,,2,user126.updated@email.com
Update,126,,,,,,3,9000001126
Update,126,,,,,,4,1350.00
Delete,126,,,,,,,
Create,127,User127 Name,user127@email.com,9000000127,11,1260.00,,
Read,127,,,,,,,
Update,127,,,,,,1,User127 Name Updated
Update,127,,,,,,2,user127.updated@email.com
Update,127,,,,,,3,9000001127
Update,127,,,,,,4,1360.00
Delete,127,,,,,,,
Create,128,User128 Name,user128@email.com,9000000128,12,1270.00,,
Read,128,,,,,,,
Update,128,,,,,,1,User128 Name Updated
Update,128,,,,,,2,user128.updated@email.com
Update,128,,,,,,3,9000001128
Update,128,,,,,,4,1370.00
Delete,128,,,,,,,
Create,129,User129 Name,user129@email.com,9000000129,13,1280.00,,
Read,129,,,,,,,
Update,129,,,,,,1,User129 Name Updated
Update,129,,,,,,2,user129.updated@email.com
Update,129,,,,,,3,9000001129
Update,129,,,,,,4,1380.00
Delete,129,,,,,,,
Create,130,User130 Name,user130@email.com,9000000130,14,1290.00,,
Read,130,,,,,,,
Update,130,,,,,,1,User130 Name Updated
Update,130,,,,,,2,user130.updated@email.com
Update,130,,,,,,3,9000001130
Update,130,,,,,,4,1390.00
Delete,130,,,,,,,
Create,131,User131 Name,user131@email.com,9000000131,15,1300.00,,
Read,131,,,,,,,
Update,131,,,,,,1,User131 Name Updated
Update,131,,,,,,2,user131.updated@email.com
Update,131,,,,,,3,9000001131
Update,131,,,,,,4,1400.00
Delete,131,,,,,,,
Create,132,User132 Name,user132@email.com,9000000132,16,1310.00,,
Read,132,,,,,,,
Update,132,,,,,,1,User132 Name Updated
Update,132,,,,,,2,user132.updated@email.com
Update,132,,,,,,3,9000001132
Update,132,,,,,,4,1410.00
Delete,132,,,,,,,
Create,133,User133 Name,user133@email.com,9000000133,17,1320.00,,
Read,133,,,,,,,
Update,133,,,,,,1,User133 Name Updated
Update,133,,,,,,2,user133.updated@email.com
Update,133,,,,,,3,9000001133
Update,133,,,,,,4,1420.00
Delete,133,,,,,,,
Create,134,User134 Name,user134@email.com,9000000134,18,1330.00,,
Read,134,,,,,,,
Update,134,,,,,,1,User134 Name Updated
Update,134,,,,,,2,user134.updated@email.com
Update,134,,,,,,3,9000001134
Update,134,,,,,,4,1430.00
Delete,134,,,,,,,
Create,135,User135 Name,user135@email.com,9000000135,19,1340.00,,
Read,135,,,,,,,
Update,135,,,,,,1,User135 Name Updated
Update,135,,,,,,2,user135.updated@email.com
Update,135,,,,,,3,9000001135
Update,135,,,,,,4,1440.00
Delete,135,,,,,,,
Create,136,User136 Name,user136@email.com,9000000136,20,1350.00,,
Read,136,,,,,,,
Update,136,,,,,,1,User136 Name Updated
Update,136,,,,,,2,user136.updated@email.com
Update,136,,,,,,3,9000001136
Update,136,,,,,,4,1450.00
Delete,136,,,,,,,
Create,137,User137 Name,user137@email.com,9000000137,21,1360.00,,
Read,137,,,,,,,
Update,137,,,,,,1,User137 Name Updated
Update,137,,,,,,2,user137.updated@email.com
Update,137,,,,,,3,9000001137
Update,137,,,,,,4,1460.00
Delete,137,,,,,,,
Create,138,User138 Name,user138@email.com,9000000138,22,1370.00,,
Read,138,,,,,,,
Update,138,,,,,,1,User138 Name Updated
Update,138,,,,,,2,user138.updated@email.com
Update,138,,,,,,3,9000001138
Update,138,,,,,,4,1470.00
Delete,138,,,,,,,
Create,139,User139 Name,user139@email.com,9000000139,23,1380.00,,
Read,139,,,,,,,
Update,139,,,,,,1,User139 Name Updated
Update,139,,,,,,2,user139.updated@email.com
Update,139,,,,,,3,9000001139
Update,139,,,,,,4,1480.00
Delete,139,,,,,,,
Create,140,User140 Name,user140@email.com,9000000140,24,1390.00,,
Read,140,,,,,,,
Update,140,,,,,,1,User140 Name Updated
Update,140,,,,,,2,user140.updated@email.com
Update,140,,,,,,3,9000001140
Update,140,,,,,,4,1490.00
Delete,140,,,,,,,
Create,141,User141 Name,user141@email.com,9000000141,5,1400.00,,
Read,141,,,,,,,
Update,141,,,,,,1,User141 Name Updated
Update,141,,,,,,2,user141.updated@email.com
Update,141,,,,,,3,9000001141
Update,141,,,,,,4,1500.00
Delete,141,,,,,,,
Create,142,User142 Name,user142@email.com,9000000142,6,1410.00,,
Read,142,,,,,,,
Update,142,,,,,,1,User142 Name Updated
Update,142,,,,,,2,user142.updated@email.com
Update,142,,,,,,3,9000001142
Update,142,,,,,,4,1510.00
Delete,142,,,,,,,
Create,143,User143 Name,user143@email.com,9000000143,7,1420.00,,
Read,143,,,,,,,
Update,143,,,,,,1,User143 Name Updated
Update,143,,,,,,2,user143.updated@email.com
Update,143,,,,,,3,9000001143
Update,143,,,,,,4,1520.00
Delete,143,,,,,,,
Create,144,User144 Name,user144@email.com,9000000144,8,1430.00,,
Read,144,,,,,,,
Update,144,,,,,,1,User144 Name Updated
Update,144,,,,,,2,user144.updated@email.com
Update,144,,,,,,3,9000001144
Update,144,,,,,,4,1530.00
Delete,144,,,,,,,
Create,145,User145 Name,user145@email.com,9000000145,9,1440.00,,
Read,145,,,,,,,
Update,145,,,,,,1,User145 Name Updated
Update,145,,,,,,2,user145.updated@email.com
Update,145,,,,,,3,9000001145
Update,145,,,,,,4,1540.00
Delete,145,,,,,,,
Create,146,User146 Name,user146@email.com,9000000146,10,1450.00,,
Read,146,,,,,,,
Update,146,,,,,,1,User146 Name Updated
Update,146,,,,,,2,user146.updated@email.com
Update,146,,,,,,3,9000001146
Update,146,,,,,,4,1550.00
Delete,146,,,,,,,
Create,147,User147 Name,user147@email.com,9000000147,11,1460.00,,
Read,147,,,,,,,
Update,147,,,,,,1,User147 Name Updated
Update,147,,,,,,2,user147.updated@email.com
Update,147,,,,,,3,9000001147
Update,147,,,,,,4,1560.00
Delete,147,,,,,,,
Create,148,User148 Name,user148@email.com,9000000148,12,1470.00,,
Read,148,,,,,,,
Update,148,,,,,,1,User148 Name Updated
Update,148,,,,,,2,user148.updated@email.com
Update,148,,,,,,3,9000001148
Update,148,,,,,,4,1570.00
Delete,148,,,,,,,
Create,149,User149 Name,user149@email.com,9000000149,13,1480.00,,
Read,149,,,,,,,
Update,149,,,,,,1,User149 Name Updated
Update,149,,,,,,2,user149.updated@email.com
Update,149,,,,,,3,9000001149
Update,149,,,,,,4,1580.00
Delete,149,,,,,,,
Create,150,User150 Name,user150@email.com,9000000150,14,1490.00,,
Read,150,,,,,,,
Update,150,,,,,,1,User150 Name Updated
Update,150,,,,,,2,user150.updated@email.com
Update,150,,,,,,3,9000001150
Update,150,,,,,,4,1590.00
Delete,150,,,,,,,
Create,151,User151 Name,user151@email.com,9000000151,15,1500.00,,
Read,151,,,,,,,
Update,151,,,,,,1,User151 Name Updated
Update,151,,,,,,2,user151.updated@email.com
Update,151,,,,,,3,9000001151
Update,151,,,,,,4,1600.00
Delete,151,,,,,,,
Create,152,User152 Name,user152@email.com,9000000152,16,1510.00,,
Read,152,,,,,,,
Update,152,,,,,,1,User152 Name Updated
Update,152,,,,,,2,user152.updated@email.com
Update,152,,,,,,3,9000001152
Update,152,,,,,,4,1610.00
Delete,152,,,,,,,
Create,153,User153 Name,user153@email.com,9000000153,17,1520.00,,
Read,153,,,,,,,
Update,153,,,,,,1,User153 Name Updated
Update,153,,,,,,2,user153.updated@email.com
Update,153,,,,,,3,9000001153
Update,153,,,,,,4,1620.00
Delete,153,,,,,,,
Create,154,User154 Name,user154@email.com,9000000154,18,1530.00,,
Read,154,,,,,,,
Update,154,,,,,,1,User154 Name Updated
Update,154,,,,,,2,user154.updated@email.com
Update,154,,,,,,3,9000001154
Update,154,,,,,,4,1630.00
Delete,154,,,,,,,
Create,155,User155 Name,user155@email.com,9000000155,19,1540.00,,
Read,155,,,,,,,
Update,155,,,,,,1,User155 Name Updated
Update,155,,,,,,2,user155.updated@email.com
Update,155,,,,,,3,9000001155
Update,155,,,,,,4,1640.00
Delete,155,,,,,,,
Create,156,User156 Name,user156@email.com,9000000156,20,1550.00,,
Read,156,,,,,,,
Update,156,,,,,,1,User156 Name Updated
Update,156,,,,,,2,user156.updated@email.com
Update,156,,,,,,3,9000001156
Update,156,,,,,,4,1650.00
Delete,156,,,,,,,
Create,157,User157 Name,user157@email.com,9000000157,21,1560.00,,
Read,157,,,,,,,
Update,157,,,,,,1,User157 Name Updated
Update,157,,,,,,2,user157.updated@email.com
Update,157,,,,,,3,9000001157
Update,157,,,,,,4,1660.00
Delete,157,,,,,,,
Create,158,User158 Name,user158@email.com,9000000158,22,1570.00,,
Read,158,,,,,,,
Update,158,,,,,,1,User158 Name Updated
Update,158,,,,,,2,user158.updated@email.com
Update,158,,,,,,3,9000001158
Update,158,,,,,,4,1670.00
Delete,158,,,,,,,
Create,159,User159 Name,user159@email.com,9000000159,23,1580.00,,
Read,159,,,,,,,
Update,159,,,,,,1,User159 Name Updated
Update,159,,,,,,2,user159.updated@email.com
Update,159,,,,,,3,9000001159
Update,159,,,,,,4,1680.00
Delete,159,,,,,,,
Create,160,User160 Name,user160@email.com,9000000160,24,1590.00,,
Read,160,,,,,,,
Update,160,,,,,,1,User160 Name Updated
Update,160,,,,,,2,user160.updated@email.com
Update,160,,,,,,3,9000001160
Update,160,,,,,,4,1690.00
Delete,160,,,,,,,
Create,161,User161 Name,user161@email.com,9000000161,5,1600.00,,
Read,161,,,,,,,
Update,161,,,,,,1,User161 Name Updated
Update,161,,,,,,2,user161.updated@email.com
Update,161,,,,,,3,9000001161
Update,161,,,,,,4,1700.00
Delete,161,,,,,,,
Create,162,User162 Name,user162@email.com,9000000162,6,1610.00,,
Read,162,,,,,,,
Update,162,,,,,,1,User162 Name Updated
Update,162,,,,,,2,user162.updated@email.com
Update,162,,,,,,3,9000001162
Update,162,,,,,,4,1710.00
Delete,162,,,,,,,
Create,163,User163 Name,user163@email.com,9000000163,7,1620.00,,
Read,163,,,,,,,
Update,163,,,,,,1,User163 Name Updated
Update,163,,,,,,2,user163.updated@email.com
Update,163,,,,,,3,9000001163
Update,163,,,,,,4,1720.00
Delete,163,,,,,,,
Create,164,User164 Name,user164@email.com,9000000164,8,1630.00,,
Read,164,,,,,,,
Update,164,,,,,,1,User164 Name Updated
Update,164,,,,,,2,user164.updated@email.com
Update,164,,,,,,3,9000001164
Update,164,,,,,,4,1730.00
Delete,164,,,,,,,
Create,165,User165 Name,user165@email.com,9000000165,9,1640.00,,
Read,165,,,,,,,
Update,165,,,,,,1,User165 Name Updated
Update,165,,,,,,2,user165.updated@email.com
Update,165,,,,,,3,9000001165
Update,165,,,,,,4,1740.00
Delete,165,,,,,,,
Create,166,User166 Name,user166@email.com,9000000166,10,1650.00,,
Read,166,,,,,,,
Update,166,,,,,,1,User166 Name Updated
Update,166,,,,,,2,user166.updated@email.com
Update,166,,,,,,3,9000001166
Update,166,,,,,,4,1750.00
Delete,166,,,,,,,
Create,167,User167 Name,user167@email.com,9000000167,11,1660.00,,
Read,167,,,,,,,
Update,167,,,,,,1,User167 Name Updated
Update,167,,,,,,2,user167.updated@email.com
Update,167,,,,,,3,9000001167
Update,167,,,,,,4,1760.00
Delete,167,,,,,,,
Create,168,User168 Name,user168@email.com,9000000168,12,1670.00,,
Read,168,,,,,,,
Update,168,,,,,,1,User168 Name Updated
Update,168,,,,,,2,user168.updated@email.com
Update,168,,,,,,3,9000001168
Update,168,,,,,,4,1770.00
Delete,168,,,,,,,
Create,169,User169 Name,user169@email.com,9000000169,13,1680.00,,
Read,169,,,,,,,
Update,169,,,,,,1,User169 Name Updated
Update,169,,,,,,2,user169.updated@email.com
Update,169,,,,,,3,9000001169
Update,169,,,,,,4,1780.00
Delete,169,,,,,,,
Create,170,User170 Name,user170@email.com,9000000170,14,1690.00,,
Read,170,,,,,,,
Update,170,,,,,,1,User170 Name Updated
Update,170,,,,,,2,user170.updated@email.com
Update,170,,,,,,3,9000001170
Update,170,,,,,,4,1790.00
Delete,170,,,,,,,
Create,171,User171 Name,user171@email.com,9000000171,15,1700.00,,
Read,171,,,,,,,
Update,171,,,,,,1,User171 Name Updated
Update,171,,,,,,2,user171.updated@email.com
Update,171,,,,,,3,9000001171
Update,171,,,,,,4,1800.00
Delete,171,,,,,,,
Create,172,User172 Name,user172@email.com,9000000172,16,1710.00,,
Read,172,,,,,,,
Update,172,,,,,,1,User172 Name Updated
Update,172,,,,,,2,user172.updated@email.com
Update,172,,,,,,3,9000001172
Update,172,,,,,,4,1810.00
Delete,172,,,,,,,
Create,173,User173 Name,user173@email.com,9000000173,17,1720.00,,
Read,173,,,,,,,
Update,173,,,,,,1,User173 Name Updated
Update,173,,,,,,2,user173.updated@email.com
Update,173,,,,,,3,9000001173
Update,173,,,,,,4,1820.00
Delete,173,,,,,,,
Create,174,User174 Name,user174@email.com,9000000174,18,1730.00,,
Read,174,,,,,,,
Update,174,,,,,,1,User174 Name Updated
Update,174,,,,,,2,user174.updated@email.com
Update,174,,,,,,3,9000001174
Update,174,,,,,,4,1830.00
Delete,174,,,,,,,
Create,175,User175 Name,user175@email.com,9000000175,19,1740.00,,
Read,175,,,,,,,
Update,175,,,,,,1,User175 Name Updated
Update,175,,,,,,2,user175.updated@email.com
Update,175,,,,,,3,9000001175
Update,175,,,,,,4,1840.00
Delete,175,,,,,,,
Create,176,User176 Name,user176@email.com,9000000176,20,1750.00,,
Read,176,,,,,,,
Update,176,,,,,,1,User176 Name Updated
Update,176,,,,,,2,user176.updated@email.com
Update,176,,,,,,3,9000001176
Update,176,,,,,,4,1850.00
Delete,176,,,,,,,
Create,177,User177 Name,user177@email.com,9000000177,21,1760.00,,
Read,177,,,,,,,
Update,177,,,,,,1,User177 Name Updated
Update,177,,,,,,2,user177.updated@email.com
Update,177,,,,,,3,9000001177
Update,177,,,,,,4,1860.00
Delete,177,,,,,,,
Create,178,User178 Name,user178@email.com,9000000178,22,1770.00,,
Read,178,,,,,,,
Update,178,,,,,,1,User178 Name Updated
Update,178,,,,,,2,user178.updated@email.com
Update,178,,,,,,3,9000001178
Update,178,,,,,,4,1870.00
Delete,178,,,,,,,
Create,179,User179 Name,user179@email.com,9000000179,23,1780.00,,
Read,179,,,,,,,
Update,179,,,,,,1,User179 Name Updated
Update,179,,,,,,2,user179.updated@email.com
Update,179,,,,,,3,9000001179
Update,179,,,,,,4,1880.00
Delete,179,,,,,,,
Create,180,User180 Name,user180@email.com,9000000180,24,1790.00,,
Read,180,,,,,,,
Update,180,,,,,,1,User180 Name Updated
Update,180,,,,,,2,user180.updated@email.com
Update,180,,,,,,3,9000001180
Update,180,,,,,,4,1890.00
Delete,180,,,,,,,
Create,181,User181 Name,user181@email.com,9000000181,5,1800.00,,
Read,181,,,,,,,
Update,181,,,,,,1,User181 Name Updated
Update,181,,,,,,2,user181.updated@email.com
Update,181,,,,,,3,9000001181
Update,181,,,,,,4,1900.00
Delete,181,,,,,,,
